data__locator_id,data__facility_name,data__city,data__state,data__tie_facility,data__artcc_id
0.00E+00,CROWNPOINT ARPT,CROWNPOINT,NEW MEXICO,ABQ,ZAB
0.00E+00,CORYDON ARPT,CORYDON,IOWA,FOD,ZAU
0F2,BOWIE MUNI ARPT,BOWIE,TEXAS,FTW,ZFW
0F3,SPIRIT LAKE MUNI ARPT,SPIRIT LAKE,IOWA,FOD,ZMP
0F4,LOUP CITY MUNI ARPT,LOUP CITY,NEBRASKA,OLU,ZMP
0F7,FOUNTAINHEAD LODGE AIRPARK ARPT,EUFAULA,OKLAHOMA,MLC,ZFW
0F9,TISHOMINGO AIRPARK ARPT,TISHOMINGO,OKLAHOMA,MLC,ZFW
0FA0,DORAL RESORT & COUNTRY CLUB HELIPORT,MIAMI,FLORIDA,MIA,ZMA
0FA1,OTT'S LANDING ARPT,ARCADIA,FLORIDA,PIE,ZMA
0FA2,DOCTORS MEML HOSPITAL #2 HELIPORT,PERRY,FLORIDA,GNV,ZJX
0FA3,BRIGHTON HELIPAD HELIPORT,BRIGHTON,FLORIDA,MIA,ZMA
0FA4,IMMOKALEE HELIPAD HELIPORT,IMMOKALEE,FLORIDA,null,null
0FA5,BRILEY FARM SPB,OAKLAND,FLORIDA,PIE,ZJX
0FA6,IMMOKALEE HELIPAD HELIPORT,IMMOKALEE,FLORIDA,MIA,ZMA
0FA9,PARADISE LANDING SPB,ALTAMONTE SPRINGS,FLORIDA,PIE,ZJX
0FD0,THE 2A RANCH ARPT,ORMOND BEACH,FLORIDA,PIE,ZJX
0FD1,PANHANDLE HELICOPTER LLC HELIPORT,PANAMA CITY BEACH,FLORIDA,GNV,ZJX
0FD2,DOLPHIN STADIUM HELIPORT,MIAMI,FLORIDA,MIA,ZMA
0FD3,DUGGER FLD ARPT,FREEPORT,FLORIDA,GNV,ZJX
0FD4,YODER FLD ARPT,BLOUNTSTOWN,FLORIDA,GNV,ZJX
0FD5,BREEZY KNOLL ARPT,DEFUNIAK SPRINGS,FLORIDA,MCN,ZJX
0FD6,FULTON SPB,SEBASTIAN,FLORIDA,PIE,ZMA
0FD9,JOY FARMS ARPT,DEFUNIAK SPRINGS,FLORIDA,GNV,ZJX
0FL0,HARPER'S FLY-IN RANCH ARPT,CLEWISTON,FLORIDA,MIA,ZMA
0FL2,ALLIGATOR DRINK SPB,GENEVA,FLORIDA,PIE,ZJX
0FL3,OLD TOWN EMS HELIPORT,OLD TOWN,FLORIDA,GNV,ZJX
0FL4,JACKSON HELIPORT,ALFORD,FLORIDA,GNV,ZJX
0FL5,LAKE CONWAY SOUTH SPB,BELLE ISLE,FLORIDA,PIE,ZJX
0FL6,BEACH MOSQUITO CONTROL DISTRICT WEST HELIPORT,PANAMA CITY BEACH,FLORIDA,GNV,ZJX
0FL7,WKMG-TV HELIPORT,ORLANDO,FLORIDA,PIE,ZJX
0FL8,GARY GALE SPB,JACKSONVILLE,FLORIDA,GNV,ZJX
0FL9,MC DANIEL RANCH INC ARPT,CLEWISTON,FLORIDA,MIA,ZMA
0G0,NORTH BUFFALO SUBURBAN ARPT,LOCKPORT,NEW YORK,BUF,ZOB
0G3,TECUMSEH MUNI ARPT,TECUMSEH,NEBRASKA,OLU,ZMP
0G4,AWRS,BOULDER,COLORADO,null,null
0G5,GRAND MARAIS/COOK COUNTY SPB,GRAND MARAIS,MINNESOTA,PNM,ZMP
0G6,WILLIAMS COUNTY ARPT,BRYAN,OHIO,CLE,ZOB
0G7,FINGER LAKES RGNL ARPT,SENECA FALLS,NEW YORK,BUF,ZBW
0GA0,HALLS FLYING RANCH ARPT,HAMPTON,GEORGIA,MCN,ZTL
0GA1,MUSTANG FLD ARPT,HARTWELL,GEORGIA,MCN,ZTL
0GA2,"AIRNAUTIQUE, INC ARPT",HARTWELL,GEORGIA,MCN,ZTL
0GA3,AYRESOUTH ARPT,TEMPLE,GEORGIA,MCN,ZTL
0GA6,SUNSET STRIP ARPT,JERSEY,GEORGIA,MCN,ZTL
0GA8,PASO FINO FARM ARPT,VALDOSTA,GEORGIA,MCN,ZJX
0GA9,GENTLE LANDINGS AIR PARK ARPT,ROBERTA,GEORGIA,MCN,ZTL
0GE0,PINEWOOD ARPT,DOUGLASVILLE,GEORGIA,MCN,ZTL
0GE1,CRYSTAL LAKE AIRPARK ARPT,IRWINVILLE,GEORGIA,MCN,ZJX
0GE3,LOOKOUT MOUNTAIN ARPT,TRENTON,GEORGIA,MCN,ZTL
0GE4,PECAN PATCH AIRSTRIP ARPT,SUNNYSIDE,GEORGIA,MCN,ZTL
0GE5,MOUNTAIN AIRPARK ARPT,CLEVELAND,GEORGIA,MCN,ZTL
0GE7,CARPENTER ARPT,APPLING,GEORGIA,MCN,ZTL
0GE9,PEGASUS RANCH ARPT,ROCKY FORD,GEORGIA,MCN,ZJX
0H1,TREGO WAKEENEY ARPT,WAKEENEY,KANSAS,ICT,ZDV
0H7,KAHOKA MUNI ARPT,KAHOKA,MISSOURI,COU,ZKC
0I2,BRAZIL CLAY COUNTY ARPT,BRAZIL,INDIANA,HUF,ZID
0I4,FORT DRUM RCO,FORT DRUM,FLORIDA,PIE,null
0I8,CYNTHIANA-HARRISON COUNTY ARPT,CYNTHIANA,KENTUCKY,LOU,ZID
0IA0,KNOXVILLE AREA COMMUNITY HOSPITAL HELIPORT,KNOXVILLE,IOWA,FOD,ZMP
0IA1,ST ANTHONY RGNL HOSPITAL HELIPORT,CARROLL,IOWA,FOD,ZMP
0IA2,AUDUBON COUNTY MEML HOSPITAL HELIPORT,AUDUBON,IOWA,FOD,ZMP
0IA4,SHARAR FLD ARPT,MEDIAPOLIS,IOWA,FOD,ZAU
0IA5,MOORE ARPT,MILLERTON,IOWA,FOD,ZAU
0IA6,RGNL HEALTH SERVICES OF HOWARD COUNTY HELIPORT,CRESCO,IOWA,FOD,ZMP
0IA8,HANNEN ARPT,CENTER POINT,IOWA,FOD,ZAU
0IA9,ARMY RESERVE HELIPORT,MIDDLETON,IOWA,FOD,ZAU
0ID,W E RANCH ARPT,THATCHER,IDAHO,BOI,ZLC
0ID0,SOUTH FORK RANCH ARPT,FEATHERVILLE,IDAHO,BOI,ZLC
0ID1,ZIGGY'S ARPT,FILER,IDAHO,BOI,ZLC
0ID2,FLYING JOSEPH RANCH ARPT,MAY,IDAHO,BOI,ZLC
0ID3,COYOTE RUN ARPT,MOUNTAIN HOME,IDAHO,BOI,ZLC
0ID4,BLACK BUTTE RANCH ARPT,SHOSHONE,IDAHO,BOI,ZLC
0ID7,Z X RANCH ARPT,MURPHY,IDAHO,BOI,ZLC
0ID8,PINNACLE ARPT,GRANGEVILLE,IDAHO,BOI,ZSE
0ID9,CORRAL CREEK ARPT,HELMER,IDAHO,BOI,ZSE
0II0,CHUCK'S ARPT,ALBANY,INDIANA,HUF,ZID
0II2,CREIGHTON ARPT,BREMEN,INDIANA,HUF,ZAU
0II7,FROST FLD ARPT,GREENFIELD,INDIANA,HUF,ZID
0II8,SUTTON'S FLD ARPT,LOWELL,INDIANA,HUF,ZAU
0II9,WINTERS ARPT,HALL,INDIANA,HUF,ZID
0IL0,HAMILTON MEML HOSPITAL HELIPORT,MC LEANSBORO,ILLINOIS,STL,ZKC
0IL1,LOYOLA UNIVERSITY MEDICAL CENTER HELIPORT,MAYWOOD,ILLINOIS,IKK,ZAU
0IL2,GRIFFIN ARPT,ALMA,ILLINOIS,STL,ZKC
0IL3,OSF HEALTHCARE/URBANA HELIPORT,URBANA,ILLINOIS,STL,ZAU
0IL4,ADVOCATE GOOD SAMARITAN HOSPITAL HELIPORT,DOWNERS GROVE,ILLINOIS,IKK,ZAU
0IL5,OSF ST LUKE MEDICAL CENTER HELIPORT,KEWANEE,ILLINOIS,IKK,ZAU
0IL6,NORTHWESTERN MEMORIAL HEALTHCARE HELIPORT,DE KALB,ILLINOIS,IKK,ZAU
0IL7,DAVIS RLA ARPT,HAMMOND,ILLINOIS,STL,ZAU
0IL9,JACK W WATSON ARPT,DE KALB,ILLINOIS,IKK,ZAU
0IN,ST JOSEPH RIVER SPB,ELKHART,INDIANA,HUF,ZAU
0IN0,SPB,KENDALLVILLE,INDIANA,null,null
0IN1,SNIDER FLD ARPT,DECKER,INDIANA,HUF,ZID
0IN4,AIR PARK FLD ARPT,WOODBURN,INDIANA,HUF,ZAU
0IN5,BYRNE FLD ARPT,BYRNEVILLE,INDIANA,HUF,ZID
0IN6,MORRISON FLIGHT PARK ULTRALIGHT,LINTON,INDIANA,HUF,ZID
0IN9,PARRISH ARPT,MOUNT VERNON,INDIANA,HUF,ZID
0IS0,TRINITY MEDICAL CENTER - ROCK ISLAND HELIPORT,ROCK ISLAND,ILLINOIS,IKK,ZAU
0IS2,NORTHSHORE GLENBROOK HOSPITAL HELIPORT,GLENVIEW,ILLINOIS,IKK,ZAU
0IS3,CADY AERIAL ARPT,DEER GROVE,ILLINOIS,IKK,ZAU
0IS6,DONGOLA HELIPORT,DONGOLA,ILLINOIS,COU,ZME
0IS8,BLESSING HOSPITAL HELIPORT,QUINCY,ILLINOIS,STL,ZKC
0IS9,BERNARDIN HELIPORT,WEST BROOKLYN,ILLINOIS,IKK,ZAU
0J0,ABBEVILLE MUNI ARPT,ABBEVILLE,ALABAMA,ANB,ZJX
0J4,FLORALA MUNI ARPT,FLORALA,ALABAMA,ANB,ZJX
0J8,FLYING TEN ARPT,ARCHER,FLORIDA,GNV,ZJX
0J9,FLYING V ARPT,UTICA,NEBRASKA,OLU,ZMP
0JY9,FLEMING COUNTY HOSPITAL HELIPORT,FLEMINGSBURG,KENTUCKY,CBM,ZID
0K6,DOBIE'S ARPT,INOLA,OKLAHOMA,MLC,ZKC
0K7,HUMBOLDT MUNI ARPT,HUMBOLDT,IOWA,FOD,ZMP
0KS0,J V RANCH ARPT,OSAGE CITY,KANSAS,ICT,ZKC
0KS1,ARPT,GOESSEL,KANSAS,null,null
0KS2,LEVERTON ARPT,UDALL,KANSAS,ICT,ZKC
0KS4,NORRIS ARPT,LAWRENCE,KANSAS,ICT,ZKC
0KS5,OASIS AERODROME ARPT,GREAT BEND,KANSAS,ICT,ZKC
0KS7,MONO AIRCRAFT ARPT,CHENEY,KANSAS,ICT,ZKC
0KS8,PEARCE FLD ARPT,PARSONS,KANSAS,ICT,ZKC
0KS9,LMN 120 ARPT,DOUGLAS,KANSAS,ICT,ZKC
0KY0,OWEN AIR PARK ARPT,OWENTON,KENTUCKY,LOU,ZID
0KY1,ARNEMANN FARMS ARPT,FRANKLIN,KENTUCKY,LOU,ZME
0KY4,RUSSELL COUNTY AMBULANCE SERVICE HELIPORT,JAMESTOWN,KENTUCKY,LOU,ZID
0KY5,BOYCE WAFER FARM ARPT,BOWLING GREEN,KENTUCKY,LOU,ZME
0KY6,THE MEDICAL CENTER AT CAVERNA HELIPORT,HORSE CAVE,KENTUCKY,LOU,ZID
0KY7,CLINTON-HICKMAN COUNTY ARPT,CLINTON,KENTUCKY,LOU,ZME
0KY8,ARPT,SAND SPRINGS,OKLAHOMA,null,null
0KY9,BOURBON COMMUNITY HOSPITAL HELIPORT,PARIS,KENTUCKY,LOU,ZID
0L3,ZUMA BEACH CVLN WOS,MALIBU,CALIFORNIA,null,null
0L4,LIDA JUNCTION ARPT,GOLDFIELD,NEVADA,RNO,ZLA
0L6,WINN PARISH MEDICAL CENTER HELIPORT,WINNFIELD,LOUISIANA,DRI,ZHU
0L7,JEAN ARPT,JEAN,NEVADA,RNO,ZLA
0L9,ECHO BAY ARPT,OVERTON,NEVADA,RNO,ZLA
0LA0,WEST HACKBERRY HELIPORT,HACKBERRY,LOUISIANA,DRI,ZHU
0LA1,DOUBLE H RANCH ARPT,GONZALES,LOUISIANA,DRI,ZHU
0LA3,BELCHER AIRPATCH ARPT,BELCHER,LOUISIANA,DRI,ZFW
0LA4,NORTH CADDO MEDICAL CENTER HELIPORT,VIVIAN,LOUISIANA,DRI,ZFW
0LA5,CONOCO INC HELIPORT,GRAND ISLE,LOUISIANA,DRI,ZHU
0LA6,HARMON SPB,SCOTT,LOUISIANA,DRI,ZHU
0LA7,EXXON HELIPORT,GRAND ISLE,LOUISIANA,DRI,ZHU
0LA8,JACKSON PARISH HOSPITAL HELIPORT,JONESBORO,LOUISIANA,DRI,ZFW
0LA9,REBEL FLD ARPT,WALKER,LOUISIANA,DRI,ZHU
0LL0,KAUFIELD ARPT,BELVIDERE,ILLINOIS,IKK,ZAU
0LL1,JERSEYVILLE AVIATION INC ARPT,JERSEYVILLE,ILLINOIS,STL,ZKC
0LL3,KOENIG ARPT,JERSEYVILLE,ILLINOIS,STL,ZKC
0LL4,FLAHERTY FLD ARPT,LA SALLE,ILLINOIS,IKK,ZAU
0LL5,BUSBOOM ARPT,ST JOSEPH,ILLINOIS,STL,ZAU
0LL6,GORD ARPT,SANDWICH,ILLINOIS,IKK,ZAU
0LL7,VALLEY WEST HOSPITAL HELIPORT,SANDWICH,ILLINOIS,IKK,ZAU
0LS0,THERIOT FLD ARPT,THIBODAUX,LOUISIANA,DRI,ZHU
0LS3,EVERGREEN VENICE HELIPORT,VENICE,LOUISIANA,DRI,ZHU
0LS5,STAFFORD ARPT,CANKTON,LOUISIANA,DRI,ZHU
0LS7,MORGAN FLD ARPT,NEW ROADS,LOUISIANA,DRI,ZHU
0M0,BILLY FREE MUNI ARPT,DUMAS,ARKANSAS,JBR,ZME
0M2,REELFOOT LAKE ARPT,TIPTONVILLE,TENNESSEE,MKL,ZME
0M3,PAUL BRIDGES FLD ARPT,HOHENWALD,TENNESSEE,MKL,ZME
0M4,BENTON COUNTY ARPT,CAMDEN,TENNESSEE,MKL,ZME
0M5,HUMPHREYS COUNTY ARPT,WAVERLY,TENNESSEE,MKL,ZME
0M8,BYERLEY ARPT,LAKE PROVIDENCE,LOUISIANA,DRI,ZME
0M9,DELHI MUNI ARPT,DELHI,LOUISIANA,DRI,ZFW
0MA1,MASSACHUSETTS GENERAL HOSPITAL HELIPORT,BOSTON,MASSACHUSETTS,BDR,ZBW
0MA2,HEALTHALLIANCE HOSPITAL-LEOMINSTER HELIPORT,LEOMINSTER,MASSACHUSETTS,BDR,ZBW
0MA3,REH HELIPORT,REHOBOTH,MASSACHUSETTS,BDR,ZBW
0MA4,BOSTON MEDICAL CENTER HOSPITAL HELIPORT,BOSTON,MASSACHUSETTS,BDR,ZBW
0MA5,BROCKTON USAR CENTER HELIPORT,BROCKTON,MASSACHUSETTS,BDR,ZBW
0MA6,WBZ HELIPORT,BOSTON,MASSACHUSETTS,BDR,ZBW
0MA9,LLEIA KYLE O'MEARA HELIPORT,WESTMINSTER,MASSACHUSETTS,BDR,ZBW
0MD0,BALTIMORE WASHINGTON MEDICAL CENTER HELIPORT,GLEN BURNIE,MARYLAND,DCA,ZDC
0MD1,TAYLOR FLD ARPT,SUDLERSVILLE,MARYLAND,DCA,ZDC
0MD2,SQUIER LANDING ARPT,COBB ISLAND,MARYLAND,DCA,ZDC
0MD3,JOHNS HOPKINS HOSPITAL HELIPORT,BALTIMORE,MARYLAND,DCA,ZDC
0MD4,POND VIEW PVT ARPT,CHESTERTOWN,MARYLAND,DCA,ZDC
0MD5,GREATER LAUREL BELTSVILLE HOSPITAL HELIPORT,LAUREL,MARYLAND,DCA,ZDC
0MD6,WALTERS ARPT,MOUNT AIRY,MARYLAND,DCA,ZDC
0MD7,THE ASPEN INSTITUTE HELIPORT,QUEENSTOWN,MARYLAND,DCA,ZDC
0MD9,CALVERT HEALTH MEDICAL CENTER HELIPORT,PRINCE FREDERICK,MARYLAND,DCA,ZDC
0ME4,PEASLEY FLD ARPT,OTIS,MAINE,BGR,ZBW
0ME7,SEBAGO LAKE BASIN SPB,NORTH WINDHAM,MAINE,BGR,ZBW
0MI0,2110 SOUTH M-76 HELIPORT,WEST BRANCH,MICHIGAN,LAN,ZMP
0MI1,LAWLER HELIPORT,OAKLAND,MICHIGAN,LAN,ZOB
0MI4,LESTERSON-DEMPSEY AIRSTRIP ARPT,GWINN,MICHIGAN,GRB,ZMP
0MI5,MUNSON HEALTHCARE MANISTEE HOSPITAL HELIPORT,MANISTEE,MICHIGAN,LAN,ZMP
0MI6,YOUNG'S ARPT,HULBERT,MICHIGAN,GRB,ZMP
0MI7,FOUR STAR HELIPORT,CARLETON,MICHIGAN,LAN,ZOB
0MI8,OAKWOOD SOUTHSHORE MEDICAL CENTER HELIPORT,TRENTON,MICHIGAN,LAN,ZOB
0MI9,HENRY FORD HOSPITAL HELIPORT,DETROIT,MICHIGAN,LAN,ZOB
0MN0,WINNER'S LANDING SPB,ST PAUL PARK,MINNESOTA,PNM,ZMP
0MN1,MAYO CLINIC HEALTH SYSTEM - NEW PRAGUE HELIPORT,NEW PRAGUE,MINNESOTA,PNM,ZMP
0MN2,GRINDSTONE LAKE SPB,SANDSTONE,MINNESOTA,PNM,ZMP
0MN3,LOWER HAY LAKE SPB,JENKINS,MINNESOTA,PNM,ZMP
0MN4,PAUL'S SPB,NISSWA,MINNESOTA,PNM,ZMP
0MN5,SANFORD TRACY HELIPORT,TRACY,MINNESOTA,PNM,ZMP
0MN7,ELY BLOOMENSON COMMUNITY HOSPITAL HELIPORT,ELY,MINNESOTA,PNM,ZMP
0MN9,TRIPLE H HELIPORT,BIG LAKE,MINNESOTA,PNM,ZMP
0MO0,FERROS RANCH-AERO ARPT,CLINTON,MISSOURI,COU,ZKC
0MO1,FLYING G ARPT,CREIGHTON,MISSOURI,COU,ZKC
0MO3,VEACH FLD ARPT,FREEMAN,MISSOURI,COU,ZKC
0MO4,BERT WALTER BERKOWITZ HELIPORT,KANSAS CITY,MISSOURI,COU,ZKC
0MO5,JOE D LEWIS ARPT,EDINA,MISSOURI,COU,ZKC
0MO7,SSM HEALTH ST JOSEPH HOSPITAL-LAKE ST. LOUIS HELIPORT,LAKE SAINT LOUIS,MISSOURI,STL,ZKC
0MO8,SLOAN'S ARPT,ELSBERRY,MISSOURI,STL,ZKC
0MO9,EMERSON HELIPORT,FERGUSON,MISSOURI,STL,ZKC
0MS0,TOPTON AIR ESTATES ARPT,MERIDIAN,MISSISSIPPI,GWO,ZME
0MS2,MORGAN FLD ARPT,SEMINARY,MISSISSIPPI,GWO,ZHU
0MS3,BAPTIST MEML HOSPITAL-NORTH MS HELIPORT,OXFORD,MISSISSIPPI,GWO,ZME
0MS6,LEVERT HELIPORT,PASS CHRISTIAN,MISSISSIPPI,GWO,ZHU
0MS7,ADDISON-HENLEY FLD ARPT,PASS CHRISTIAN,MISSISSIPPI,MKL,ZHU
0MS8,CATFISH POINT ARPT,BENOIT,MISSISSIPPI,GWO,ZME
0MS9,SHENANDOAH VALLEY FARMS ARPT,HOUSTON,MISSISSIPPI,GWO,ZME
0MT1,WILLIAMS FLD ARPT,AUGUSTA,MONTANA,GTF,ZLC
0MT2,BIG SANDY MEDICAL CENTER HELIPORT,BIG SANDY,MONTANA,GTF,ZLC
0MT3,STOCK FARM HELIPORT,HAMILTON,MONTANA,GTF,ZLC
0MT4,KIMP ARPT,HAMILTON,MONTANA,GTF,ZLC
0MT5,COTTONWOOD ARPT,LAUREL,MONTANA,GTF,ZLC
0MT6,HANSON ARPT,MARION,MONTANA,GTF,ZLC
0MT7,PINEHURST RANCH ARPT,THOMPSON FALLS,MONTANA,GTF,ZSE
0MT8,GLACIER HELI TOURS HELIPORT,WEST GLACIER,MONTANA,GTF,ZLC
0MT9,LONE HAWK ARPT,WHITEFISH,MONTANA,GTF,ZLC
0MU1,SUNDERLAND ARPT,AVILLA,MISSOURI,COU,ZKC
0MU2,CHRISTIAN HOSPITAL NORTHEAST HELIPORT,FLORISSANT,MISSOURI,STL,ZKC
0MU3,HANNIBAL RGNL HOSPITAL HELIPORT,HANNIBAL,MISSOURI,STL,ZKC
0MU4,SLAUGHTER ARPT,MARCELINE,MISSOURI,COU,ZKC
0MU5,HOLDEN HELIPORT,HOLDEN,MISSOURI,COU,ZKC
0MU6,BRADBURY-ROLF MEML HELIPORT,HIGGINSVILLE,MISSOURI,COU,ZKC
0MU7,LAMBS FLD ARPT,LONE JACK,MISSOURI,COU,ZKC
0MU9,RPM ARPT,FAIR GROVE,MISSOURI,COU,ZKC
0MY1,BOZEMAN DEACONESS HOSPITAL HELIPORT,BOZEMAN,MONTANA,GTF,ZLC
0N0,ROOSTERVILLE ARPT,LIBERTY,MISSOURI,COU,ZKC
0N1,SAWRS,ABSECON BEACH,NEW JERSEY,null,null
0N4,CHANDELLE ARPT,DOVER,DELAWARE,MIV,ZDC
0N5,DELDOT HELISTOP HELIPORT,DOVER,DELAWARE,MIV,ZDC
0N6,ALBANNA AVIATION ARPT,FELTON,DELAWARE,MIV,ZDC
0NA1,GOERGER ARPT,BARNEY,NORTH DAKOTA,GFK,ZMP
0NA9,BOYD'S TURF ARPT,GOLVA,NORTH DAKOTA,GFK,ZLC
0NC0,WAYNE MEML HOSPITAL INC HELIPORT,GOLDSBORO,NORTH CAROLINA,RDU,ZDC
0NC1,H & J STRIP ARPT,ELON,NORTH CAROLINA,RDU,ZTL
0NC2,MOORE RGNL HOSPITAL HELIPORT,PINEHURST,NORTH CAROLINA,RDU,ZDC
0NC3,WASHINGTON COUNTY HOSPITAL HELIPORT,PLYMOUTH,NORTH CAROLINA,RDU,ZDC
0NC4,WAKE MEDICAL CENTER HELIPORT,RALEIGH,NORTH CAROLINA,RDU,ZDC
0NC5,NASH GENERAL HOSPITAL HELIPORT,ROCKY MOUNT,NORTH CAROLINA,RDU,ZDC
0NC6,OUR COMMUNITY HOSPITAL HELIPORT,SCOTLAND NECK,NORTH CAROLINA,RDU,ZDC
0NC7,LINDSAY ARPT,MADISON,NORTH CAROLINA,RDU,ZTL
0NC8,FLYING S RANCH ARPT,CLEVELAND,NORTH CAROLINA,RDU,ZTL
0NC9,MARIA PARHAM HEALTH HOSPITAL HELIPORT,HENDERSON,NORTH CAROLINA,RDU,ZDC
0ND0,GILBERTSON FLD ARPT,FLORA,NORTH DAKOTA,GFK,ZMP
0ND6,SCHUMACHER STRIP ARPT,HAGUE,NORTH DAKOTA,GFK,ZMP
0ND7,SAVILLE PVT ARPT,HAZELTON,NORTH DAKOTA,GFK,ZMP
0NE0,MERRIHEW ARPT,ASHBY,NEBRASKA,OLU,ZDV
0NE1,RUNNER LANDING AREA ARPT,ASHBY,NEBRASKA,OLU,ZDV
0NE3,SYRACUSE HOSPITAL HELIPORT,SYRACUSE,NEBRASKA,OLU,ZMP
0NE4,FRANKLIN COUNTY MEML HOSPITAL HELIPORT,FRANKLIN,NEBRASKA,OLU,ZMP
0NH7,LEINSING HELIPORT,DOVER,NEW HAMPSHIRE,BGR,ZBW
0NJ0,ATLANTIC CITY MEDICAL CENTER HELIPORT,ATLANTIC CITY,NEW JERSEY,MIV,ZDC
0NJ1,BERKELEY TOWNSHIP POLICE HELIPORT,BAYVILLE,NEW JERSEY,MIV,ZNY
